21:44:21 INFO    train | config: configs\retriever.yaml + ['name=retriever_b128', 'data.batch_size=128']
22:04:45 INFO    qar.training.trainer | new best val/recall@1=0.4336
22:05:03 INFO    qar.training.trainer | step   6100 | loss=2.1786 nce=2.1786 acc=0.4570 grad_norm=3.0125 lr=0.0003 steps_per_s=4.8228 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:05:20 INFO    qar.training.trainer | step   6200 | loss=2.1711 nce=2.1711 acc=0.4548 grad_norm=3.0231 lr=0.0003 steps_per_s=5.7795 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:05:37 INFO    qar.training.trainer | step   6300 | loss=2.1517 nce=2.1517 acc=0.4554 grad_norm=3.0602 lr=0.0002 steps_per_s=5.8459 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:05:55 INFO    qar.training.trainer | step   6400 | loss=2.1510 nce=2.1510 acc=0.4669 grad_norm=3.0238 lr=0.0002 steps_per_s=5.8238 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:06:12 INFO    qar.training.trainer | step   6500 | loss=2.1312 nce=2.1312 acc=0.4681 grad_norm=2.9915 lr=0.0002 steps_per_s=5.7212 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:06:29 INFO    qar.training.trainer | step   6600 | loss=2.1330 nce=2.1330 acc=0.4655 grad_norm=2.9726 lr=0.0002 steps_per_s=5.8543 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:06:47 INFO    qar.training.trainer | step   6700 | loss=2.1467 nce=2.1467 acc=0.4628 grad_norm=2.9693 lr=0.0002 steps_per_s=5.7656 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:07:05 INFO    qar.training.trainer | step   6800 | loss=2.1153 nce=2.1153 acc=0.4727 grad_norm=2.9838 lr=0.0002 steps_per_s=5.5226 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:07:22 INFO    qar.training.trainer | step   6900 | loss=2.0897 nce=2.0897 acc=0.4742 grad_norm=2.9740 lr=0.0002 steps_per_s=5.7256 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:07:38 INFO    qar.training.trainer | step   7000 | loss=2.0961 nce=2.0961 acc=0.4758 grad_norm=2.9265 lr=0.0002 steps_per_s=6.1977 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:07:40 INFO    qar.training.trainer | step   7000 | EVAL val/loss=2.2762 val/mrr=0.5636 val/recall@1=0.4321 val/recall@5=0.7195 val/recall@10=0.8115 val/mean_rank=8.0603
22:07:58 INFO    qar.training.trainer | step   7100 | loss=2.0895 nce=2.0895 acc=0.4762 grad_norm=2.9917 lr=0.0002 steps_per_s=5.1482 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:08:16 INFO    qar.training.trainer | step   7200 | loss=2.1366 nce=2.1366 acc=0.4666 grad_norm=2.9564 lr=0.0002 steps_per_s=5.3161 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:08:35 INFO    qar.training.trainer | step   7300 | loss=2.0757 nce=2.0757 acc=0.4791 grad_norm=2.9430 lr=0.0002 steps_per_s=5.3255 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:08:54 INFO    qar.training.trainer | step   7400 | loss=2.0899 nce=2.0899 acc=0.4772 grad_norm=2.9404 lr=0.0002 steps_per_s=5.4397 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:09:12 INFO    qar.training.trainer | step   7500 | loss=2.1005 nce=2.1005 acc=0.4756 grad_norm=2.9066 lr=0.0002 steps_per_s=5.4359 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:09:30 INFO    qar.training.trainer | step   7600 | loss=2.1022 nce=2.1022 acc=0.4716 grad_norm=2.9141 lr=0.0002 steps_per_s=5.4712 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:09:49 INFO    qar.training.trainer | step   7700 | loss=2.1123 nce=2.1123 acc=0.4716 grad_norm=2.9164 lr=0.0002 steps_per_s=5.3106 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:10:07 INFO    qar.training.trainer | step   7800 | loss=2.0746 nce=2.0746 acc=0.4796 grad_norm=2.9097 lr=0.0002 steps_per_s=5.5634 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:10:26 INFO    qar.training.trainer | step   7900 | loss=2.0693 nce=2.0693 acc=0.4819 grad_norm=2.9100 lr=0.0002 steps_per_s=5.2945 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:10:45 INFO    qar.training.trainer | step   8000 | loss=2.0910 nce=2.0910 acc=0.4720 grad_norm=2.8898 lr=0.0002 steps_per_s=5.2437 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:10:47 INFO    qar.training.trainer | step   8000 | EVAL val/loss=2.2012 val/mrr=0.5781 val/recall@1=0.4504 val/recall@5=0.7317 val/recall@10=0.8167 val/mean_rank=7.7454
22:10:48 INFO    qar.training.trainer | new best val/recall@1=0.4504
22:11:08 INFO    qar.training.trainer | step   8100 | loss=2.0642 nce=2.0642 acc=0.4789 grad_norm=2.8693 lr=0.0002 steps_per_s=4.3720 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:11:26 INFO    qar.training.trainer | step   8200 | loss=2.0876 nce=2.0876 acc=0.4834 grad_norm=2.8538 lr=0.0002 steps_per_s=5.5500 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:11:44 INFO    qar.training.trainer | step   8300 | loss=2.0562 nce=2.0562 acc=0.4817 grad_norm=2.8521 lr=0.0002 steps_per_s=5.5741 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
22:12:02 INFO    qar.training.trainer | step   8400 | loss=2.0847 nce=2.0847 acc=0.4798 grad_norm=2.8601 lr=0.0002 steps_per_s=5.4272 mem/alloc_mib=3183.8511 mem/reserved_mib=3812.0000
