19:09:27 INFO    train | config: configs\retriever.yaml + ['name=retriever_hn2_12k', 'data.batch_size=128', 'loss.hard_negatives=2', 'loss.answerable_weight=0.0', 'train.max_steps=12000']
20:17:38 INFO    qar.training.trainer | step   8200 | loss=2.5194 nce=2.5194 acc=0.3069 grad_norm=2.6924 lr=0.0001 steps_per_s=2.0536 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:18:27 INFO    qar.training.trainer | step   8300 | loss=2.5001 nce=2.5001 acc=0.3084 grad_norm=2.6995 lr=0.0001 steps_per_s=2.0547 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:19:15 INFO    qar.training.trainer | step   8400 | loss=2.5303 nce=2.5303 acc=0.3054 grad_norm=2.6926 lr=0.0001 steps_per_s=2.0652 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:20:04 INFO    qar.training.trainer | step   8500 | loss=2.4993 nce=2.4993 acc=0.3063 grad_norm=2.7003 lr=0.0001 steps_per_s=2.0700 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:20:52 INFO    qar.training.trainer | step   8600 | loss=2.5026 nce=2.5026 acc=0.3070 grad_norm=2.6913 lr=0.0001 steps_per_s=2.0669 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:21:40 INFO    qar.training.trainer | step   8700 | loss=2.4750 nce=2.4750 acc=0.3102 grad_norm=2.7284 lr=0.0001 steps_per_s=2.0670 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:22:28 INFO    qar.training.trainer | step   8800 | loss=2.4948 nce=2.4948 acc=0.3109 grad_norm=2.6632 lr=0.0001 steps_per_s=2.0851 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:23:16 INFO    qar.training.trainer | step   8900 | loss=2.5024 nce=2.5024 acc=0.3070 grad_norm=2.6844 lr=0.0001 steps_per_s=2.1014 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:24:04 INFO    qar.training.trainer | step   9000 | loss=2.4993 nce=2.4993 acc=0.3120 grad_norm=2.7094 lr=0.0000 steps_per_s=2.0618 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:24:08 INFO    qar.training.trainer | step   9000 | EVAL val/loss=2.6499 val/mrr=0.4530 val/recall@1=0.2803 val/recall@5=0.6780 val/recall@10=0.7942 val/mean_rank=8.8308
20:24:09 INFO    qar.training.trainer | new best val/recall@1=0.2803
20:24:57 INFO    qar.training.trainer | step   9100 | loss=2.4792 nce=2.4792 acc=0.3162 grad_norm=2.7100 lr=0.0000 steps_per_s=1.9142 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:25:44 INFO    qar.training.trainer | step   9200 | loss=2.4620 nce=2.4620 acc=0.3173 grad_norm=2.7020 lr=0.0000 steps_per_s=2.1157 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:26:32 INFO    qar.training.trainer | step   9300 | loss=2.4691 nce=2.4691 acc=0.3141 grad_norm=2.6977 lr=0.0000 steps_per_s=2.0746 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:27:20 INFO    qar.training.trainer | step   9400 | loss=2.4685 nce=2.4685 acc=0.3130 grad_norm=2.7119 lr=0.0000 steps_per_s=2.0785 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:28:08 INFO    qar.training.trainer | step   9500 | loss=2.4920 nce=2.4920 acc=0.3104 grad_norm=2.6950 lr=0.0000 steps_per_s=2.1069 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:28:57 INFO    qar.training.trainer | step   9600 | loss=2.4575 nce=2.4575 acc=0.3168 grad_norm=2.7165 lr=0.0000 steps_per_s=2.0290 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:29:45 INFO    qar.training.trainer | step   9700 | loss=2.4355 nce=2.4355 acc=0.3198 grad_norm=2.7082 lr=0.0000 steps_per_s=2.0695 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:30:35 INFO    qar.training.trainer | step   9800 | loss=2.4692 nce=2.4692 acc=0.3134 grad_norm=2.7338 lr=0.0000 steps_per_s=2.0282 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:31:24 INFO    qar.training.trainer | step   9900 | loss=2.4616 nce=2.4616 acc=0.3123 grad_norm=2.7232 lr=0.0000 steps_per_s=2.0174 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:32:13 INFO    qar.training.trainer | step  10000 | loss=2.4483 nce=2.4483 acc=0.3195 grad_norm=2.7042 lr=0.0000 steps_per_s=2.0583 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:32:16 INFO    qar.training.trainer | step  10000 | EVAL val/loss=2.6267 val/mrr=0.4569 val/recall@1=0.2830 val/recall@5=0.6855 val/recall@10=0.8018 val/mean_rank=8.5671
20:32:17 INFO    qar.training.trainer | new best val/recall@1=0.2830
20:33:06 INFO    qar.training.trainer | step  10100 | loss=2.4776 nce=2.4776 acc=0.3114 grad_norm=2.7222 lr=0.0000 steps_per_s=1.8887 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:33:56 INFO    qar.training.trainer | step  10200 | loss=2.4552 nce=2.4552 acc=0.3204 grad_norm=2.7510 lr=0.0000 steps_per_s=1.9985 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:34:44 INFO    qar.training.trainer | step  10300 | loss=2.4565 nce=2.4565 acc=0.3219 grad_norm=2.7262 lr=0.0000 steps_per_s=2.0538 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:35:32 INFO    qar.training.trainer | step  10400 | loss=2.4482 nce=2.4482 acc=0.3171 grad_norm=2.6986 lr=0.0000 steps_per_s=2.0947 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:36:20 INFO    qar.training.trainer | step  10500 | loss=2.4582 nce=2.4582 acc=0.3162 grad_norm=2.6988 lr=0.0000 steps_per_s=2.1066 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:37:07 INFO    qar.training.trainer | step  10600 | loss=2.4304 nce=2.4304 acc=0.3207 grad_norm=2.7022 lr=0.0000 steps_per_s=2.0991 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
20:37:56 INFO    qar.training.trainer | step  10700 | loss=2.4663 nce=2.4663 acc=0.3146 grad_norm=2.7332 lr=0.0000 steps_per_s=2.0731 mem/alloc_mib=6557.9019 mem/reserved_mib=7754.0000
